tabla_origen,bloque,set_features,algoritmo,metrica,n,media,sd,min,max,valor_semilla_42,dentro_banda_42,distancia_fuera_banda_42,commit_semilla_42,semillas,alcance,nota_bloque,decisiones_no_constantes,commits_origen,commit_agregador,fecha
metricas_baseline_semillas.csv,calidad,122_sin_seleccion,RandomForest_monolitico,bin_fpr,10,0.0261,0.0002,0.026,0.0265,0.0261,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,,"config_ganadora: {'max_depth': None, 'n_estimators': 300} en 5 semilla(s) · {'max_depth': None, 'n_estimators': 100} en 5 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_baseline_semillas.csv,calidad,122_sin_seleccion,RandomForest_monolitico,f1_macro,10,0.4694,0.0016,0.4672,0.472,0.4698,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,,"config_ganadora: {'max_depth': None, 'n_estimators': 300} en 5 semilla(s) · {'max_depth': None, 'n_estimators': 100} en 5 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_baseline_semillas.csv,calidad,122_sin_seleccion,RandomForest_monolitico,recall_0day_global,10,0.1471,0.0046,0.1376,0.1539,0.148,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,,"config_ganadora: {'max_depth': None, 'n_estimators': 300} en 5 semilla(s) · {'max_depth': None, 'n_estimators': 100} en 5 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_baseline_semillas.csv,calidad,54,RandomForest_monolitico,bin_accuracy,10,0.7451,0.0017,0.7429,0.7484,0.7466,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,,"config_ganadora: {'max_depth': None, 'n_estimators': 300} en 5 semilla(s) · {'max_depth': None, 'n_estimators': 100} en 5 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_baseline_semillas.csv,calidad,54,RandomForest_monolitico,bin_fpr,10,0.0269,0.0002,0.0266,0.0271,0.0268,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,,"config_ganadora: {'max_depth': None, 'n_estimators': 300} en 5 semilla(s) · {'max_depth': None, 'n_estimators': 100} en 5 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_baseline_semillas.csv,calidad,54,RandomForest_monolitico,f1_macro,10,0.4703,0.0017,0.4678,0.4734,0.4721,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,,"config_ganadora: {'max_depth': None, 'n_estimators': 300} en 5 semilla(s) · {'max_depth': None, 'n_estimators': 100} en 5 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_baseline_semillas.csv,calidad,54,RandomForest_monolitico,recall_0day_global,10,0.1402,0.0107,0.1269,0.1597,0.1496,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,,"config_ganadora: {'max_depth': None, 'n_estimators': 300} en 5 semilla(s) · {'max_depth': None, 'n_estimators': 100} en 5 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_cascada_invertida_semillas.csv,calidad,122_sin_seleccion,RandomForest,n_condenadas,10,6011.1,2398.7285,2157.0,9051.0,3329.0,dentro,0.0,274923d-sucio,1 2 3 4 5 6 7 8 9 10,medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_cascada_invertida_semillas.csv,calidad,122_sin_seleccion,RandomForest,tasa_condena,10,0.619,0.247,0.2221,0.932,0.3428,dentro,0.0,274923d-sucio,1 2 3 4 5 6 7 8 9 10,medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_cascada_invertida_semillas.csv,calidad,54,RandomForest,n_condenadas,10,7436.9,1524.547,5585.0,9586.0,6558.0,dentro,0.0,274923d-sucio,1 2 3 4 5 6 7 8 9 10,medida CONTRAFACTUAL de la cascada invertida (T3): predict_proba del clasificador de firmas YA ENTRENADO sobre la POBLACIÓN de las filas normales de D2 —que en el sistema real NUNCA llegan a la etapa 2— para contar cuántas conservarían etiqueta de ataque con confianza >= UMBRAL_CONF. NO describe el híbrido publicado y NO es comparable con ninguna columna de metricas_firmas.csv ni de metricas_hibrido.csv. La etapa 2 carece de clase 'normal' (D3 son solo ataques) así que etiqueta como ataque TODA fila: por eso 'n_argmax' de '__global__' es el total de normales. DENOMINADOR de 'tasa_condena': ese total y no el bucket de la fila —así los RECUENTOS de las cuatro categorías suman el de '__global__'; las tasas solo hasta el redondeo—. LÍMITE: 'tasa_condena' de '__global__' es COTA INFERIOR del FPR de un sistema de firmas-primero y lo citable es 'n_condenadas' — el porqué está en el puntero y no se replica aquí. UMBRAL_CONF se lee del descriptor del híbrido (ver 'origen_umbral_conf') donde lo dejó la calibración out-of-fold sobre D3. Cero fit: solo inferencia sobre modelos persistidos y D2 SOLO se reporta — ninguna decisión sale de esta tabla (P-4). Lectura cifras y porqué del límite: Implementacion/PIPELINE.md sección 'La cascada invertida (T3)',,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
